,KS_score,GS76_score,rank_KS,rank_GS76,consensus_rank,emt_group
F1310,-0.47564935064935066,9.03649780628973,29.0,3144.0,1586.5,Hybrid
F1311,0.1433150183150183,-5.313654476293159,2472.0,507.0,1489.5,E
F1312,-0.10381285381285381,0.8456004985144716,1554.5,1608.0,1581.25,Hybrid
F1313,-0.15363802863802864,2.383171094752278,1146.5,1996.0,1571.25,E
F1314,0.31718281718281716,-8.263943352553454,3147.0,286.0,1716.5,Hybrid
F1315,0.11559274059274059,0.5577809004434684,2144.0,1545.0,1844.5,M
F1316,-0.1965118215118215,3.5992107083783154,859.0,2276.0,1567.5,E
F1317,0.34648684648684647,-12.145019197612008,3181.0,130.0,1655.5,Hybrid
F1318,-0.28384115884115885,2.949555955299715,380.0,2129.0,1254.5,E
F1319,-0.3205960705960706,7.134603388201718,269.0,2954.0,1611.5,Hybrid
F1320,-0.2177822177822178,6.763427296569802,716.0,2907.0,1811.5,M
F1321,-0.16600066600066601,4.362646552513645,1056.0,2440.0,1748.0,M
F1322,-0.14989177489177488,1.7574579918272235,1181.0,1841.0,1511.0,E
F1323,0.13136863136863136,-3.082132036869936,2351.5,824.0,1587.75,Hybrid
F1324,-0.10173160173160173,0.8659756716353186,1562.0,1614.0,1588.0,Hybrid
F1325,0.10206460206460206,-0.8672851573079186,1967.0,1217.0,1592.0,Hybrid
F1326,0.7532883782883782,-52.35022880527342,3272.0,7.0,1639.5,Hybrid
F1327,0.14964202464202464,-1.7117227371894828,2528.5,1045.0,1786.75,M
F1328,-0.16779054279054278,5.247620559852386,1041.5,2624.0,1832.75,M
